Award_Year_Reported_on_990,Amount,Recipient,Description_990,Source,Notes,Recipient_EIN,City,State,Type,Activity,Output,Title_web,Description_web,Project_director,Project_extent_preserved,Project_date_range,Project_URL
2018,"$15,000.00",WYSO Radio,Document status of recording archives held by HBCUs,990_2018,This was a research report - could have more things like this (evidence of effectivness and needs for preservation),,Yellow Springs,OH,grant,report,report,Surveying Radio Recording Archives at Historically Black Colleges and Universities,"“Nearly a third of Historically Black Colleges and Universities (HBCU) have radio stations,”
says Jocelyn Robinson, project director, “and many went on the air during the Civil Rights era,
fifty or more years ago. Much of the material created at these stations during the struggle for
equality and beyond is now at risk, as magnetic tape and other obsolete formats deteriorate.
But we won’t know what needs preservation until we survey the content and conditions of the
radio archives on HBCU campuses. What we discover could have enormous potential for
podcasts, radio and film documentaries, and museum exhibitions, allowing students,
researchers, media producers, and communities to remember, honor and be inspired by the
voices of this important legacy.”
Thirty radio stations in thirteen states and the District of Columbia have been identified. The
report will be accessible to the radio stations, the various campus communities involved, and
to all students, faculty, scholars, researchers, and media producers wishing to access these
important and as yet untapped resources.
Other",Jocelyn Robinson,,,
2018,"$15,000.00",Arhoolie Foundation,Digitize and preserve Harry Oster Collection field recordings,990_2018,,,El Cerrito,CA,grant,preserve - digitize,,Digitizing the Harry Oster Collection of field recordings,"“The funds will allow us to digitally preserve and create selected online access to a one-of-a-kind collection of field recordings made by the late folklorist and independent producer Dr. Harry Oster between 1956 and 1980,” says Adam Machado, Executive Director/Project Director fo the Arhoolie Foundation. “Captured on reel-to-reel tape, primarily in Louisiana and Iowa, this documentary collection features well-known regional musicians such as Gary Davis, Son House, Robert Pete Williams, Fred McDowell, and many obscure deep tradition artists.""",,,,
2018,"$10,000.00",New York Public Radio,Digitize and upload WNYC's On the Media series,990_2018,,,New York,NY,grant,preserve - digitize,,Digitizing WNYC's <em>On the Media</em>,"The funds will allow WNYC Archives to continue cataloging On the Media broadcasts and to
make the contents accessible to scholars, journalists and the general public through the
website wnyc.org, the Digital Public Library of America (DPLA) and the American Archive of
Public Broadcasting (AAPB).
On the Media has been the only weekly radio program on both public and commercial radio to
consistently address the impact and influence of media and the changing media landscape on
contemporary western culture for the last 25 years.",,,,
2018,"$10,000.00",Other Minds,"Digitize and preserve the ""Composer to Composer"" recordings",990_2018,,,San Francisco,CA,grant,preserve - digitize,,Digitizing the <em>Composer to Composer</em> recordings,"Other Minds in San Francisco will digitize, catalog, and preserve a collection of DAT tapes dating from 1988&ndash;1991 documenting various conversations, lectures, interviews, and performances presented at the _Composer to Composer_ Festival in Telluride, Colorado.
“The collection comprises approximately 120 hours of recordings as well as numerous
ephemeral items related to the festival,” says Charles Amirkhanian, Executive & Artistic
Director of Other Minds. “During those four years, the festival hosted numerous emerging and
illustrious composers including John Cage, Lou Harrison, Joan La Barbara, Laurie Anderson, Anthony Davis, Terry Riley, Conlon Nancarrow, Pauline Oliveros, and many more.” Their
extensive interviews will be preserved for future generations.",Charles Amirkhanian,"DAT tapes, 120 hours",1988&ndash;1991,
2019,"$10,000.00",KUT Radio (University of Texas at Austin),,990_2019,,74-6000203,Austin,TX,grant,preserve - digitize,,Digitizing KUT Radio Collections,"Says Laura Willis, Digital Assets and Operations Coordinator, “Digitizing these reels in order
to make them available online will provide a wealth of exciting, wide-ranging local and global
research material.” The material covers a wide range of public figures including Stokely
Carmichael, Dick Gregory, Joseph Heller, Walt Rostow, Dr. Page Keeton, Walter Cronkite,
Ruth Bader Ginsberg, Bill Moyers, Coretta Scott King and Barbara Jordan. The digitized
broadcasts are given wide public access through a collaboration with the American Archive of
Public Broadcasting, which will stream the programs online.",,,,
2019,"$15,000.00",World Music Productions,Preservation of recordings of Afropop Worldwide,990_2019,"Afropop noted in documents, not sure this is it, though",52-1490194,Brooklyn,NY,grant,preserve - digitize,,Digitizing Recordings of <em>Afropop Worldwide</em>,"Peabody Award-winning Afropop Worldwide had been bringing the music and artists of Africa
and its diaspora to over 100 US radio stations since 1988. Hosted by Cameroonian Georges
Collinet, the series is distributed by Public Radio International. The grant will help fund the
preservation of field recordings and interviews with the seminal artists of these regions that
were made over a period of 20 years. Audio includes many artists who created styles that
have now traveled the world. ""We were lucky to travel in Africa and the Caribbean at a time
when legends like Franco, Tabu Ley, Mahlathini and the Mahotella Queens and so many
others were still on the scene,” says Sean Barlow, CEO. “Our interviews and informal
recordings are a time capsule to the golden age of African pop, and we are so pleased that
these recordings are now being preserved and catalogued for future fans and researchers.""",Laura Willis,,,
2019,"$10,000.00",National Public Radio,,990_2019,Julie Rogers quoted in news release,52-0907625,Washington,DC,grant,preserve - digitize,,Digitizing <em>Voices in the Wind</em>,"“Voices in the Wind established NPR’s reputation as the leading curator of the arts,” says Bill
Siemering, NPR’s founding Programming Director and a former contributor to Voices in the
Wind. “There was no other place in broadcasting where listeners could hear the voices of so
many writers and other artists during this period.”
In 255 episodes and over 2100 story segments, host Oscar Brand interviewed such
luminaries as James Baldwin, Merle Haggard, Alice Walker, John Lennon, Aaron Copland,
Gamble Rogers, Henry Fonda, Ansel Adams, Pete Seeger, Letta Mbulu, Margaret Atwood,
Marlene Dietrich, Alvin Ailey, Elia Kazan, Patti Smith, David Mamet, Claudette Colbert, Fred
Rogers, Dolly Parton, Edward Gorey, Nikki Giovanni, Itzhak Perlman, Marian Anderson, Shel
Silverstein and Lucille Clifton. That is anyone’s idea of diversity and range.",Julie Rogers,,,
2019,"$5,000.00",Atlanta Historical Society,,990_2019,What was this for?,58-0566162,Atlanta,GA,grant,preserve - digitize,,"Digitizing Georgia Oral Histories, 1966&ndash;1968","Between 1966 and 1968, Georgia State University students spread out to interview common
folk: men, women, and children in Georgia and across the southeast on topics including
crafts, storytelling, superstitions, jokes, remedies, songs and ballads, and local traditions. The
interviews provide unique insight into Southern Appalachian culture during the twentieth
century and will contribute to the teaching, study, and presentation of Southern Folklore.
The AHC will continue to partner with Preserve South for this project, a local audio and video
engineering firm that specializes in media migration. Upon grant completion, the content will
be freely open to the public.",,,,
2019,"$10,000.00",East Tennesee State University Foundation,,990_2019,Bluegrass recordings noted in materials,23-7092731,Johnson City,TN,grant,preserve - digitize,,Digitizing Appalachian Bluegrass Field Recordings,"Bluegrass, old-time, traditional Appalachian music – from 1961 all the way up to 1989 East
Tennessee State University recorded yearly festivals of vernacular music. Ralph Stanley &
the Clinch Mountain Boys, Bill Monroe, The Carter Family, Johnny Cash, Flatt & Scruggs,
Doc Watson, Del McCoury, J.D. Crowe, Clarence Tom Ashley, the Osborne Brothers – and
dozens more performing for home audiences at their artistic peaks.
The grant will help fund the restoration and digitization of over 800 analog recordings and
2,000 hours of audio of vernacular music festivals and field recordings, which feature
bluegrass, old-time, and traditional Appalachian music. Many of these recordings are the only
known copies to exist, containing unique performances and verbal contextualization that
provide irreplaceable information on local performance practices. Once completed the Archive
will work to provide public access to this material, thereby offering musicians and cultural
historians from across the nation new opportunities for performance and research.",,,,
2020,"$14,830.00",American Folk Art Museum,,990_2020,,13-1985627,New York,NY,grant,preserve - digitize,,Digitization of Rare Interviews with &lsquo;Outsider&rsquo; Artists,"""With support from the National Recording Preservation Foundation, the American Folk Art
Museum will digitize rare audio recordings of interviews with folk artists that were recorded by Charles B. and Janice M. Rosenak throughout their travels in the Southeast, Appalachia, and
New Mexico from 1967-1988,” says Jason Busch, Director and CEO of the American Folk Art
Museum (AFAM). “These unique recordings capture the voices of some of the most prominent selftaught
artists of the 20th century, primarily African American and Native American artists, that
have been widely absent from the canon of American art.""

The interviews come from _In Their Own Words: Digitizing the Hidden Recordings of Folk
Artists' Interviews from the Rosenak Collection in the American Folk Art Museum Archives_.

""The project will enable a wider audience to access recordings of interviews with 26 iconic
self-taught artists including Howard Finster, Sam Doyle, William Dawson, Lee Goodie, Malcah
Zeldis, Leroy Felipe Archuleta, and others, all of whom are no longer living today,"" says Ann-Marie Reilly, Director of Collections and Exhibition Production. “As AFAM prepares to mark its
sixtieth anniversary in 2021, the project will be part of a broader celebration of our collection as we mark six decades of leadership in the field of self-taught art.”",Ann-Marie Reilly,,,
2020,"$14,999.00",Iowa State University Foundation,,990_2020,,42-1143702,Ames,IA,grant,preserve - digitize,,Digitizing Lectures from Iowa State University,"Iowa State University has long had one of the most expansive series of lectures in the
country. For this project they are focusing on lectures from the 1972 through the 1990s –
1640 hours, 259 reel-to-reel tapes, 732 audiocassettes all to be restored, digitized and made
accessible via the university’s own sites and for the general public on their YouTube channel.
“We were impressed by the sheer range of speakers and subjects from the series, a veritable
cross-section of culture, politics, the arts and sciences,” says NRPF Executive Director,
Gerald Seligman. “Just a short list of some key names will give you an idea of the value of preserving the lectures: Robert Hollinger, Salvadore Allende, Judith Crist, N. Scott Momaday, Seymour Hersh, Ntozake Shange, Frances Fox Piven, Ramsey Clark, Denise Levertov,
Maynard Jackson, Angela Davis, Benjamin Spock… the list goes on: Virgil Thompson,
Czeslaw Milosz, Barbara Ehrenreich, Arthur Miller – and so many more.”

“We’re excited to honor Iowa State University’s land grant mission in sharing diverse and
timely lectures from the Iowa State Lecture Series. Established in 1958 many of the original
ISU Lectures speak to the issues our country is grappling with today, namely politics, science,
race, gender, and sexuality,” says Rosie Rowe, AV and Film Preservation Specialist at the
University.

Adds Daniel Hartwig, Head of Iowa State's Special Collections & University Archives, “Our goal
for the project is stimulate awareness and discourse, as well as center and magnify these
voices and movements.”",Rosie Rowe,"1640 hours, 259 reel-to-reel tapes, 732 audiocassettes",1972&ndash;2000,
2020,"$8,050.00",University of Alaska Fairbanks,,990_2020,,23-7394620,Fairbanks,AK,grant,preserve - digitize,,Digitizing Recordings of the Unangax̂ (Alaska Aleut) Peoples,"“The ‘Cuttlefish Project’ recordings are of immense Unangax̂ (Alaska Aleut) cultural
importance due to not only the topics covered by Elders but because many of them were the
last fluent speakers of the Unangam Tunuu language,” says Leslie McCartney, Associate
Professor and Curator of Oral History at the Elmer E. Rasmuson Library. “They are of the
utmost importance to the Unangax̂ people themselves, for educators around the world who
study the diversity of Indigenous people in the United States, and for worldwide linguists and
historians.”
Fifty-nine open-reel audiotapes of the ""Cuttlefish Project"" will be digitized and made accessible to
researchers and the public. Each of the recordings will be cataloged in the UAF Library
Catalog via WordCat. URLs will be placed directly into the library catalog record so anyone around the world with an internet connection may find and listen to the recording.",,59 open-reel tapes,,
2020,"$3,500.00",Museum of Russian Culture,,990_2020,,94-6102862,San Francisco,CA,grant,preserve - digitize,,Preserving Unique Recordings from the Soviet and Tsarist Eras,"The Museum of Russian Culture holds a rare and vulnerable collection of early recordings
from folk balalaika orchestras to early Soviet dance music, Tsarist-era operatic divas to field
recordings of Russian refugees in China. A wide variety of these historical audio documents
will be digitized for the first time.
“The museum is very grateful to the NRPF for supporting the preservation and digitization of
our collection of Russian musical recordings,” says Yves Franquien, Vice President of the
Museum of Russian Culture, San Francisco. “Our archive contains a wide stylistic variety of
Russian music produced all over the world, from Moscow to Shanghai, New York to Paris.
This is a wonderful opportunity for us to digitize the rarest recordings, make them available
online, and integrate them into the main exhibition of our museum.”
“The recordings to be digitized include pre-revolutionary operatic arias produced under Tsar
Nicholas II and exceedingly rare Chinese pressings of Russian music marketed to imperial
loyalists following the Russian Civil War,” adds Ryan Gourley, Project Manager and Ph.D.
student in Ethnomusicology at UC Berkeley. “These are extraordinary objects of immense cultural heritage, some of which have not been listened to for over a century.”
“As part of the Russian Center of San Francisco, the largest hub for Russian cultural activity
in the American Pacific Northwest,” says Margarita Meniailenko, Chief Archivist, “the museum
is dedicated to peaceful intercultural exchange. We look forward to collaborating with
researchers in the United States and abroad on this unique project.”",Ryan Gourley,200 recordings,,
2021,"$8,653.00",Friends of Thomas Edison National Historical Park,,990_2021,Analysis of Edison's seal master molds for casting recordings,,West Orange,NJ,grant,preserve - analysis?,,Extracting High-quality Sound from Sealed Master Molds,"""We are gratified to receive this Grant for Audio Preservation from the National Recording
Preservation Foundation,” says Larry Fast, Trustee, The Friends of Thomas Edison National
Historical Park. “The money will fund research to determine best practices for digitizing
Thomas Edison National Historical Park's priceless collection of disc record ‘Master Molds.’
These metal molds contain the master recordings from inventor Thomas Edison's catalog of
music recorded in New York City and European cities during the 1910s and 1920s. The molds
are too fragile to digitize via the traditional stylus-playback method, so we will digitize a pair of
molds using the Northeast Document Conservation Center's ""IRENE"" system. IRENE (an acronym for Image, Reconstruct, Erase Noise, Etc.) uses a
non-contact 3-D scanner to recover audio from phonograph records. This is exciting research
because an Edison Master Mold has never been digitized using IRENE.""",,,,
2022,$0.00,,,,GS reports no grants this year (990 form either not required or unavailable),,,,,,,,,,,,
2023,"$8,500.00",WYSO Radio,"The HBCU Radio Preservation Project, under the auspices of WYSO Radio of Miami Valley State Media, will work to rescue civil rights-related radio broadcasts, specifically those held at WRVS and the G. R. Little Library at Elizabeth City State University. This will pilot a methodology that will serve as a model for working with and surveying other HCBU broadcasts discovered during the project's previous round of NRPF funding.",NRPF files,,,Yellow Springs,OH,grant,preserve - survey,,Surveying HBCU Radio Archives at Elizabeth City State University,"The HBCU Radio Preservation Project, under the auspices of WYSO Radio of Miami Valley State Media, will work to rescue civil rights-related radio broadcasts, specifically those held at WRVS and the G. R. Little Library at Elizabeth City State University. This will pilot a methodology that will serve as a model for working with and surveying other HCBU broadcasts discovered during the project's previous round of NRPF funding.",Jocelyn Robinson,,,
2023,"$8,500.00","University of California, Santa Barbara","Funding for the preservation of groundbreaking Radio Broadcasts of the CBS Symphony conducted by Bernard Herrmann in the 1930s and 1940s, held at the University of California at Santa Barbara. While Herrmann is known today as one of the preeminent film composers of the 20th century (Psycho, Citizen Kane, Taxi Driver), his early career was as a composer and symphonic conductor for radio, and these recordings are the primary collection of his innovative and progressive approach to the symphonic repertoire.",NRPF files,,,Santa Barbara,CA,grant,preserve - digitize,,Digitizing Bernard Herrmann's Recordings with the CBS Symphony,"The UCSB Library’s Special Research Collections will preserve, digitize, and make accessible the groundbreaking radio broadcasts of the CBS Symphony conducted by Bernard Herrmann in the 1930s and 1940s. While Herrmann is known today as one of the preeminent film composers of the 20th century (Psycho, Citizen Kane, Taxi Driver), his early career was as a composer and symphonic conductor for radio, and these recordings are the primary collection of his innovative and progressive approach to the symphonic repertoire. He championed the work of a then under-appreciated Charles Ives, British composers including Edward Elgar and Ralph Vaughan Williams, and Americans like Robert Russell Bennett and William Grant Still. These aluminum- and glass-based broadcast airchecks of 135 radio broadcasts were donated to UCSB by his estate after Herrmann’s death and document this important aspect of his career. ",David Seubert,,,
2023,"$11,350.00",Appalshop,"Funding for Appalshop, the central Appalachian media arts and culture center which began in 1969, which holds over 50 years of deep, sustained work documenting the cultural, economic and social currents of the region. In 2022, a catastrophic 1000-year flood exceeded the area’s worst-recorded flood by 7 feet, breaching Appalshop’s building and immersing the organization’s archive of photographs, paper records and most of its 18,000 obsolete-format audiovisual items in flood water. Roughly 80% of the collections stored on archival moveable shelving were fully submerged, with the remaining 20% on the uppermost two shelves initially remaining dry. The funding is to help in the lengthy, costly process of salvation and recuperation.",NRPF files,,,Whitesburg,KY,grant,preserve - digitize,,Preserving Unique and Historical Appalachian Recordings,"On July 28, 2022, a catastrophic, 1000-year floods inundated eastern Kentucky. The resulting floodwaters exceeded any previously recorded floods by 7 feet. The water breached Appalshop’s building and immersed the organization’s archive of
photographs, paper records and most of its 18,000 obsolete-format audiovisual items in flood water. Roughly 80% of the collections stored on archival moveable shelving were fully
submerged, with the remaining 20% on the uppermost two shelves initially remaining dry.
Submerged materials were exposed to water containing mud and silt, and unknown debris and contaminants. The disaster placed nearly a century of first-voice primary source film and video documentation of central Appalachian history, art, and culture at grave risk of being lost forever.

Appalshop Archive will work with the preservation vendor AV Geeks to clean and digitize 280 tapes that were damaged by the flood. The lab services will include splice repair and other intervention conservation necessary to restore the playability of the media. Deliverables will be high-sample-rate Broadcast WAV files, from which Appalshop staff will make MP3 files for access. ",,,,
